"usual_place_healthcare","healthcare_facility_type","awareness_of_clinics","num_ER_visits_past_year","time_since_last_checkup","asthma_in_household","high_bp_in_household","overweight_in_household","depression_in_household","anxiety_in_household","diabetes_in_household","health_insurance_barrier","language_barrier","transportation_availability","doctor_availability","wait_time_barrier","health_coverage","medicaid_medicare_coverage","needed_doctor_but_could_not_due_to_cost","prescription_medication_affordability","trust_in_healthcare_system","difficulty_understanding_written_medical_info","difficulty_understanding_verbal_medical_info","time_since_last_dental_visit","dental_insurance_coverage","forgone_dental_care_due_to_cost","safe_spaces_for_children_after_school","housing_insecurity","feeling_nervous_anxious","unable_to_control_worrying","lack_interest_pleasure","feeling_down_depressed","primary_language_spoken","home_ownership_status","highest_education_level","age","race_ethnicity","income_category","gender_identity","home_ownership","primary_language","received_services_at_catherines","satisfaction_with_catherines","barriers_to_using_catherines","lives_in_zipcode_49548"
"Yes","Clinic or health center","Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","1-2 years","No one","No one","Household member","No one","No one","No one","Agree","Agree","Agree","Agree","Disagree","No","No","Yes","No","Completely trust","Sometimes","Never","More than 5 years","No","No","No","No","Not at all","Not at all","Not at all","More than half the days","Spanish","Rent","Less than 6th grade","60","Hispanic / Latino / Spanish origin","Don’t know / Not sure","Female","Rent","Spanish","No",NA,"Lack of information","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Agree","Disagree","Disagree","Agree","Disagree","Yes","Medicare only","Yes","Yes","Slightly trust","Sometimes","Sometimes","Less than 1 year","Yes","Yes","Yes","Yes","Several days","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","73","Refused","$15,000 - $19,999","Prefer not to say","Own","English","Yes","Very satisfied","","No"
"Yes","Urgent care / walk-in clinic","Cherry Street Clinic,Corewell Urgent Care","2","Less than 1 year","Household member","No one","No one","Respondent","Respondent","Household member","Agree","Disagree","Agree","Agree","Agree","Yes","Medicaid only","No","No","Neither trust nor distrust","Occasionally","Never","Less than 1 year","Yes","No","Yes","No","Several days","Nearly every day","Several days","Several days","English","Rent","High school diploma / GED","25","Black / African-American","Less than $10,000","Female","Rent","English","No",NA,"Lack of information","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","Respondent","No one","No one","No one","Respondent","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","Yes","Yes","Completely trust","Never","Never","More than 5 years","No","No","Yes","No","Not at all","Not at all","Not at all","Not at all","Nepali","Own","Bachelor's degree","62","Asian","Don’t know / Not sure","Male","Own","Nepali","Yes","Neither satisfied nor dissatisfied","","No"
"Yes","Hospital ER","Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","1","More than 5 years","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Completely distrust","Never","Never","Less than 1 year","Yes","No","Don’t know / Not sure","No","Not at all","Not at all","More than half the days","Not at all","English","Own","High school diploma / GED","32","Hispanic / Latino / Spanish origin","$35,000 - $49,999","Male","Own","English","No",NA,"Lack of information","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Household member","Respondent","Respondent","Respondent","Household member","No one","Agree","Disagree","Disagree","Agree","Disagree","No","No","No","Yes","Slightly distrust","Occasionally","Never","Less than 1 year","No","Yes","Don’t know / Not sure","Yes","Several days","More than half the days","More than half the days","More than half the days","English","Rent","Associate or technical degree","41","White / Caucasian","$25,000 - $34,999","Female","Rent","English","Yes","Satisfied","","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","3","Less than 1 year","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Neutral","Agree","Disagree","Agree","Agree","Yes","Medicaid only","Refused","Refused","Completely trust","Often","Often","Less than 1 year","Refused","Yes","Yes","Yes","Several days","Several days","Several days","Several days","Nepali","Own","High school diploma / GED","30","Asian","Don’t know / Not sure","Female","Own","Nepali","No",NA,"Lack of information","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","0","1-2 years","No one","No one","Respondent","Respondent","Respondent","No one","Agree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Slightly distrust","Sometimes","Sometimes","Less than 1 year","Yes","No","Yes","No","Several days","Several days","Several days","Not at all","English","Own","Master's degree or higher","28","White / Caucasian","$35,000 - $49,999","Female","Own","English","No",NA,"Lack of information","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","More than 5 years","Household member","No one","Respondent,Household member","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Slightly trust","Occasionally","Never","Less than 1 year","Yes","Yes","Yes","No","Several days","Not at all","Not at all","Several days","English","Rent","High school diploma / GED","37","White / Caucasian","Don’t know / Not sure","Female","Rent","English","No",NA,"Lack of information","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","Respondent","Respondent","No one","No one","Respondent","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","Bachelor's degree","80","White / Caucasian","Refused","Female","Own","English","No",NA,"Lack of information,Other","Yes"
"Yes","Doctor’s office or HMO","None of these","1","2-5 years","Household member","No one","No one","No one","No one","No one","Agree","Agree","Agree","Agree","Disagree","Yes","No","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","Vietnamese","Own","Associate or technical degree","21","White / Caucasian,Asian","$75,000 or above","Male","Own","Vietnamese","No",NA,"Lack of information","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","1","Less than 1 year","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Neutral","Agree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Completely trust","Always","Always","More than 5 years","No","No","No","No","Not at all","Several days","Not at all","Not at all","Nepali","Own","6th-8th grade","38","Asian","$25,000 - $34,999","Female","Own","Nepali","No",NA,"Refused","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Exalta Health,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Respondent","No one","No one","Respondent","Respondent","No one","Agree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely distrust","Don’t know / Not sure","Don’t know / Not sure","Less than 1 year","No","Yes","Yes","No","Refused","Refused","Refused","Refused","English","Own","Associate or technical degree","74","White / Caucasian","$20,000 - $24,999","Female","Own","English","No",NA,"Lack of insurance,Other","Yes"
"Yes","Clinic or health center","Exalta Health,Cherry Street Clinic,Corewell Urgent Care","3","1-2 years","No one","Respondent,Household member","Household member","Respondent,Household member","Respondent","No one","Agree","Agree","Agree","Agree","Disagree","No","No","Yes","No","Slightly distrust","Never","Never","Less than 1 year","No","No","Don’t know / Not sure","No","Several days","Several days","Several days","More than half the days","Spanish","Rent","High school diploma / GED","31","Hispanic / Latino / Spanish origin","$10,000 - $14,999","Female","Rent","Spanish","No",NA,"Lack of information","Yes"
"No",NA,"Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","2-5 years","Household member","Household member","Respondent","Respondent","Respondent","No one","Agree","Disagree","Agree","Disagree","Disagree","No","No","Yes","No","Slightly trust","Occasionally","Never","2-5 years","No","Yes","Yes","No","Nearly every day","More than half the days","Several days","Several days","English","Rent","Some college","28","Hispanic / Latino / Spanish origin","$35,000 - $49,999","Female","Rent","English","No",NA,"Clinic hours not convenient,Other","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","Less than 1 year","Respondent","No one","Respondent","No one","Respondent","No one","Disagree","Disagree","Agree","Disagree","Agree","Yes","No","Yes","Yes","Slightly distrust","Never","Never","Less than 1 year","Yes","Yes","Yes","Yes","Several days","Several days","Not at all","Not at all","English","Rent","Master's degree or higher","32","Black / African-American","$75,000 or above","Female","Rent","English","No",NA,"Other","Yes"
"Yes","Clinic or health center","Catherine’s Health Center","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Agree","Yes","Medicare only","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","Some college","75","Other","Refused","Female","Own","English","Yes","Very dissatisfied","","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic","0","Less than 1 year","No one","Household member","No one","No one","Household member","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Slightly distrust","Never","Never","1-2 years","No","Yes","No","No","Several days","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","71","White / Caucasian","$75,000 or above","Male","Own","English","No",NA,"Other","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","Don’t know / Refused","Disagree","Disagree","Agree","Disagree","Disagree","Yes","Medicare only","No","No","Neither trust nor distrust","Never","Never","Less than 1 year","Yes","Yes","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","Some college","78","Hispanic / Latino / Spanish origin","$15,000 - $19,999","Female","Own","English","No",NA,"Other","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Exalta Health,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Disagree","Disagree","Yes","No","Yes","No","Slightly trust","Occasionally","Occasionally","Less than 1 year","Yes","Yes","Yes","Yes","Not at all","Not at all","Not at all","Not at all","English","Own","Master's degree or higher","35","Black / African-American","$75,000 or above","Female","Own","English","No",NA,"Other","Refused"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Respondent,Household member","Respondent,Household member","No one","Respondent,Household member","Respondent,Household member","No one","Disagree","Disagree","Disagree","Disagree","Disagree","Yes","Medicaid only","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Several days","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","26","White / Caucasian","Don’t know / Not sure","Male","Rent","English","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Don’t know / Not sure","No","Not at all","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","78","White / Caucasian","$15,000 - $19,999","Female","Own","English","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","Yes","Several days","Not at all","Not at all","Not at all","English","Own","Associate or technical degree","39","White / Caucasian","$75,000 or above","Female","Own","English","No",NA,"Other","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","1","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Don’t know / Not sure","Yes","Not at all","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","33","Black / African-American","$35,000 - $49,999","Female","Rent","English","No",NA,"Lack of information","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Exalta Health,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","2","Less than 1 year","No one","Respondent","Respondent","Respondent","Respondent","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Nearly every day","More than half the days","More than half the days","More than half the days","English","Rent","Master's degree or higher","38","White / Caucasian","$50,000 - $74,999","Female","Rent","English","No",NA,"Other","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","Less than 1 year","Don’t know / Refused","Respondent","Respondent","Respondent","Respondent","Don’t know / Refused","Disagree","Disagree","Disagree","Agree","Disagree","Yes","Medicaid only","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","Yes","Yes","Yes","Several days","Not at all","Not at all","Not at all","English","Rent","Associate or technical degree","37","Hispanic / Latino / Spanish origin","$35,000 - $49,999","Female","Rent","English","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Corewell Urgent Care","0","Less than 1 year","Don’t know / Refused","Respondent","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Disagree","Disagree","Disagree","Agree","Disagree","Yes","No","No","No","Completely trust","Never","Never","More than 5 years","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Rent","Some college","46","White / Caucasian","$75,000 or above","Male","Rent","English","No",NA,"Lack of information","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","Household member","Household member","No one","No one","Respondent,Household member","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely trust","Never","Never","2-5 years","Yes","Yes","Yes","No","Not at all","Don’t know / Not sure","Not at all","Not at all","English","Own","Master's degree or higher","86","White / Caucasian","$10,000 - $14,999","Male","Own","English","No",NA,"Other","No"
"Yes","Clinic or health center","Catherine’s Health Center,Exalta Health,Cherry Street Clinic,Clinica Santa Maria","0","Less than 1 year","No one","Respondent","No one","No one","No one","Respondent","Disagree","Disagree","Agree","Agree","Disagree","Yes","Both","No","No","Completely trust","Always","Always","More than 5 years","Yes","No","Don’t know / Not sure","No","Not at all","Not at all","Not at all","Not at all","English","Own","9th-11th grade","71","White / Caucasian,American Indian or Alaska Native","Less than $10,000","Female","Own","English","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Respondent","No one","Respondent","Respondent","Respondent","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Don’t know / Not sure","Never","Never","Less than 1 year","Yes","No","Yes","No","Several days","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","89","White / Caucasian","$20,000 - $24,999","Female","Own","English","No",NA,"Other","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Corewell Urgent Care","3","Less than 1 year","Household member","Household member","No one","No one","No one","Household member","Agree","Disagree","Agree","Agree","Agree","Yes","No","Yes","No","Neither trust nor distrust","Never","Never","2-5 years","No","Yes","Yes","Yes","Several days","Not at all","Several days","Several days","English","Rent","Master's degree or higher","37","Black / African-American","$20,000 - $24,999","Female","Rent","English","Yes",NA,"","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center","0","More than 5 years","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Neutral","Disagree","Yes","Both","No","No","Completely trust","Never","Never","More than 5 years","Yes","No","Don’t know / Not sure","No","Not at all","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","68","White / Caucasian","$10,000 - $14,999","Male","Own","English","Yes","Very satisfied","","Yes"
"Yes","Clinic or health center","Cherry Street Clinic","0","Less than 1 year","No one","No one","Respondent","Household member","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Both","No","No","Slightly distrust","Never","Never","Less than 1 year","Yes","No","Don’t know / Not sure","No","Not at all","Not at all","Not at all","Not at all","English","Own","Associate or technical degree","66","White / Caucasian","$35,000 - $49,999","Male","Own","English","Yes","Dissatisfied","","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","Respondent","No one","No one","No one","No one","Agree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","90","White / Caucasian","Don’t know / Not sure","Female","Own","English","Yes","Satisfied","","Yes"
"Yes","Urgent care / walk-in clinic","Cherry Street Clinic,Corewell Urgent Care","0","More than 5 years","No one","No one","No one","No one","Respondent","No one","Agree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Neither trust nor distrust","Occasionally","Never","Less than 1 year","Yes","Yes","Yes","No","More than half the days","Refused","Not at all","Not at all","English","Rent","High school diploma / GED","32","White / Caucasian","Don’t know / Not sure","Female","Rent","English","No",NA,"Lack of information","Yes"
"Yes","Clinic or health center","Cherry Street Clinic,Corewell Urgent Care","1","Less than 1 year","Respondent","No one","No one","No one","No one","No one","Neutral","Disagree","Agree","Neutral","Disagree","Yes","Medicare only","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Several days","Several days","English","Own","High school diploma / GED","24","American Indian or Alaska Native","$35,000 - $49,999","Male","Own","English","No",NA,"Clinic hours not convenient","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","1","Less than 1 year","Respondent","No one","Respondent","Respondent","Respondent","Respondent","Disagree","Disagree","Agree","Agree","Neutral","Yes","Medicare only","No","Yes","Neither trust nor distrust","Sometimes","Occasionally","1-2 years","Yes","No","Yes","No","Nearly every day","Nearly every day","Not at all","Nearly every day","English","Rent","High school diploma / GED","25","White / Caucasian","$15,000 - $19,999","Self-described","Rent","English","No",NA,"Lack of information","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","Respondent","Respondent","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Several days","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","85","White / Caucasian","$25,000 - $34,999","Male","Own","English","No",NA,"Other","Yes"
"Yes","Doctor’s office or HMO","Corewell Urgent Care","1","1-2 years","No one","No one","Respondent","Respondent","Respondent","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","No","No","Yes","Slightly trust","Never","Never","1-2 years","Yes","Yes","Yes","No","Nearly every day","Nearly every day","Not at all","Several days","English","Own","Bachelor's degree","36","White / Caucasian","$50,000 - $74,999","Female","Own","English","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Corewell Urgent Care","5","Less than 1 year","No one","No one","No one","Respondent","Respondent","No one","Disagree","Disagree","Agree","Neutral","Disagree","Yes","No","No","No","Neither trust nor distrust","Never","Occasionally","More than 5 years","Don’t know / Not sure","No","Yes","Yes","Several days","Several days","Nearly every day","Several days","English","Rent","Some college","24","Hispanic / Latino / Spanish origin","$25,000 - $34,999","Female","Rent","English","No",NA,"Don’t know / Not sure","Yes"
"Yes","Some other place","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","No one","Respondent","Respondent","Respondent","No one","Agree","Disagree","Agree","Agree","Agree","Yes","Medicaid only","No","No","Slightly distrust","Never","Never","Less than 1 year","Yes","Yes","No","Yes","Nearly every day","Nearly every day","Nearly every day","Nearly every day","English","Own","High school diploma / GED","43","Black / African-American","Less than $10,000","Female","Own","English","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Corewell Urgent Care","2","Less than 1 year","Don’t know / Refused","Respondent","Respondent,Household member","Don’t know / Refused","Don’t know / Refused","Respondent","Disagree","Disagree","Agree","Agree","Neutral","Yes","No","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","Associate or technical degree","56","White / Caucasian","$75,000 or above","Male","Own","English","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","6","Less than 1 year","Respondent","Respondent","Respondent","Respondent","No one","Respondent","Disagree","Disagree","Agree","Agree","Disagree","Yes","Both","No","No","Completely trust","Never","Never","1-2 years","Yes","No","Yes","Yes","Not at all","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","62","White / Caucasian","$35,000 - $49,999","Female","Own","English","No",NA,"Lack of information","Yes"
"Yes","Clinic or health center","Cherry Street Clinic,Clinica Santa Maria","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Slightly trust","Sometimes","Sometimes","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","Spanish","Own","Less than 6th grade","49","Hispanic / Latino / Spanish origin","Don’t know / Not sure","Female","Own","Spanish","Yes","Satisfied","","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Exalta Health,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","2","Less than 1 year","No one","No one","No one","Household member","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Completely distrust","Never","Often","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","Some college","31","Other","$25,000 - $34,999","Male","Own","English","No",NA,"Other","Yes"
"No",NA,"None of these","0","Don’t know / Not sure","No one","No one","No one","No one","No one","No one","Agree","Agree","Agree","Agree","Agree","No","No","Yes","Yes","Slightly distrust","Occasionally","Occasionally","1-2 years","No","Yes","Yes","No","Not at all","Several days","Not at all","Not at all","Other","Own","Some college","23","Asian","$50,000 - $74,999","Female","Own","Other","No",NA,"Lack of information","Yes"
"Yes","Clinic or health center","None of these","0","Less than 1 year","No one","Respondent,Household member","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No",NA,"Completely trust","Never","Never","2-5 years","Don’t know / Not sure","No","No","No","Not at all","Not at all","Several days","Not at all","English","Own","High school diploma / GED","66","White / Caucasian","$75,000 or above","Male","Own","English","No",NA,"Lack of information","Yes"
"More than one place",NA,"Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Neutral","Agree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","26","Black / African-American","$50,000 - $74,999","Male","Rent","English","No",NA,"Lack of information","Yes"
"More than one place",NA,"Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","2","Less than 1 year","No one","No one","Household member","Respondent","Respondent","No one","Disagree","Disagree","Agree","Agree","Neutral","Yes","Medicare only","No","No","Slightly trust","Never","Occasionally","Less than 1 year","Yes","Yes","Yes","Yes","More than half the days","Nearly every day","Not at all","Not at all","English","Rent","High school diploma / GED","26","Black / African-American","$75,000 or above","Female","Rent","English","Yes","Very dissatisfied","Other","Yes"
"More than one place",NA,"Cherry Street Clinic","0","1-2 years","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Disagree","Agree","Disagree","Yes","Medicaid only","Yes","No","Completely trust","Sometimes","Never","Less than 1 year","Yes","No","No","No","More than half the days","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","38","Black / African-American","$25,000 - $34,999","Female","Own","English","No",NA,"Other","Yes"
"More than one place","Clinic or health center","Catherine’s Health Center,Exalta Health,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","Respondent","Respondent","No one","No one","Respondent","Disagree","Disagree","Agree","Neutral","Disagree","Yes","Medicare only","No","No","Completely trust","Occasionally","Never","Less than 1 year","Yes","No","Don’t know / Not sure","Yes","Nearly every day","Not at all","More than half the days","Not at all","English","Own","Some college","78","White / Caucasian","$15,000 - $19,999","Female","Own","English","Yes","Very satisfied","","Yes"
"More than one place",NA,"Corewell Urgent Care","8","Less than 1 year","Respondent","Respondent","Respondent","Respondent","Respondent","No one","Disagree","Disagree","Agree","Disagree","Agree","Yes","No","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Several days","Several days","Not at all","Not at all","English","Own","Bachelor's degree","55","White / Caucasian","$75,000 or above","Male","Own","English","No",NA,"Lack of information","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic","0","1-2 years","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","Yes","Completely distrust","Never","Never","2-5 years","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","36","Black / African-American","Less than $10,000","Female","Rent","English","No",NA,"Lack of information","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Household member","No one","No one","Respondent,Household member","Household member","Don’t know / Refused","Neutral","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Neither trust nor distrust","Sometimes","Never","Less than 1 year","Yes","No","Yes","Yes","More than half the days","Nearly every day","Not at all","More than half the days","English","Rent","9th-11th grade","45","White / Caucasian","$10,000 - $14,999","Female","Rent","English","No",NA,"Lack of transportation","Yes"
"Yes","Urgent care / walk-in clinic","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","2","2-5 years","No one","No one","Household member","No one","Respondent","No one","Agree","Disagree","Agree","Agree","Agree","Yes","Medicaid only","No","No","Neither trust nor distrust","Never","Never","Less than 1 year","Yes","No","Don’t know / Not sure","No","Several days","Not at all","Not at all","Not at all","English","Rent","Associate or technical degree","27","White / Caucasian","$35,000 - $49,999","Female","Rent","English","No",NA,"Lack of information","No"
"More than one place",NA,"Corewell Urgent Care","1","1-2 years","Household member","No one","Respondent","No one","Respondent","No one","Neutral","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","No","No","Several days","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","28","White / Caucasian","$75,000 or above","Female","Rent","English","No",NA,"Lack of information","Yes"
